shift_duration_hours,consecutive_work_days,night_work_fraction,weather_stress_index,self_reported_tiredness,workload_risk_label
9.970953080589114,5,0.20133968049598994,1.0,2,High
7.308433946282814,2,0.0,0.5,4,Low
11.577055913658791,4,0.7113925925929987,0.0,4,High
12.0,5,0.17559834693904527,0.5,2,High
7.990527817779407,2,0.26665425699990714,0.0,4,Low
10.832708358127972,3,0.5119500184394958,0.0,2,Medium
8.478474905185799,3,0.47605331514908217,0.5,4,High
3.5,1,0.0,0.0,1,Low
5.450168608533495,2,0.0,0.5,1,Low
8.059024474772313,1,0.17418849488424187,1.0,3,Medium
4.3548848481565745,1,0.0,0.0,4,Low
9.287717054999343,5,0.24137775688418292,1.0,2,High
5.086534034033541,2,0.32111436604749866,0.0,5,Low
8.772732972309473,7,0.03982713203725071,0.5,2,Medium
2.816167782405729,2,0.529018002030426,0.0,2,Low
8.95243503504005,4,0.5648414412963967,1.0,4,High
10.731633268166584,3,0.13094304239652133,0.5,1,Medium
12.0,5,0.48203326834629046,1.0,5,High
9.0,5,0.6,1.0,4,High
10.536847151799334,5,0.0,1.0,2,High
10.436232525678001,3,0.4829968070664703,1.0,4,High
12.0,4,0.0,0.0,3,Medium
9.838272401355848,4,0.015321426661088381,1.0,3,High
10.929822588158183,3,0.12110041796895131,0.0,4,Medium
10.635505326643916,3,0.7070513742564208,0.5,4,High
5.789103957958416,3,0.40504752849386344,0.5,1,Low
7.1955683038834035,6,0.19809727596809976,0.5,3,Medium
11.534402169900353,3,0.006747882523716459,0.5,4,High
10.356541898577898,6,0.8362333735254762,0.5,4,High
8.222419190965054,7,0.04316759285429488,1.0,4,High
9.854915550378763,5,0.0012703670751721863,0.0,3,Medium
6.626078805918574,1,0.6960374418501531,0.5,2,Medium
8.478769884783393,1,0.22105070596454418,1.0,2,Medium
5.190211177717285,6,0.5258302062193244,0.5,4,High
6.829541572566846,4,0.3906342603649479,0.5,5,High
5.825795721600109,6,0.11158490913445993,1.0,2,Medium
9.379739436219717,7,0.35267732396667983,0.0,2,High
5.330830131366918,1,0.8195402086028359,0.5,3,Medium
5.131258745035831,3,0.00856454364945221,0.0,2,Low
9.580842260755762,4,0.32106257604571103,1.0,1,High
8.102287771952133,6,0.10029199439854722,0.5,3,Medium
11.488855177324963,5,0.0,0.0,3,Medium
5.569909299553253,6,0.7784901041792319,0.0,3,Medium
10.964660073321138,2,0.09457143284243005,0.5,3,Medium
4.121844271033143,3,0.179762704670564,0.5,4,Low
7.961486418392756,5,0.3794712788035861,0.5,3,High
7.772961823500999,3,0.2972806118199811,0.5,2,Medium
6.318493508159495,4,0.4248286318643802,0.5,3,Medium
11.425508250234024,4,0.862573371739639,0.0,2,High
11.32228134548061,4,0.09011358702656466,0.0,4,Medium
8.16994225924331,5,0.8821808825602641,0.5,2,High
8.367051119225362,2,0.2639397583319139,0.5,2,Low
7.883393041508447,7,0.0414132811010369,0.5,3,High
4.8907637183923995,2,0.5763561385652621,0.5,2,Low
6.660290679864842,1,0.675961899222498,0.5,2,Low
5.835763286881171,5,0.15079305887807748,0.0,4,Low
5.644942413277074,6,0.286523079762188,1.0,1,Medium
3.750980182293326,3,0.001341103190012955,0.0,3,Low
8.020710820220426,4,0.30573296087842006,0.0,3,Medium
9.2,5,0.5,1.0,4,High
8.478506230208533,6,0.6077366693694566,0.0,4,High
9.992937097068497,3,0.005794766835835491,1.0,2,Medium
8.126583071182196,5,0.5392318964784709,0.0,3,Medium
4.981058862623511,3,0.3177680731165927,0.5,2,Low
4.918116245956432,7,0.20171003283304972,0.5,4,High
5.4012021416106935,6,0.17486661632067277,0.0,2,Low
5.680967897874174,2,0.0,0.5,3,Low
11.622566861995313,1,0.3379757658136191,1.0,2,High
6.379914694540021,5,0.0,0.5,2,Low
10.846589530086874,7,0.11178563416313465,0.5,1,High
6.9914036937124155,3,0.32376461828024455,0.5,3,Medium
10.163131775006182,1,0.0,0.0,2,Low
6.6775782534930475,2,0.004721779956146993,0.5,5,Low
3.4876050883133294,3,0.29892419249935354,1.0,5,Medium
10.327893239071336,1,0.6043180113991264,1.0,4,High
11.981137889379035,6,0.16079883013041713,0.5,2,High
8.114505185874918,1,0.6082043600493428,0.5,2,Medium
5.411724898170191,4,0.8321096066989507,0.5,4,High
12.0,7,0.10150069829632852,1.0,4,High
9.116746645431027,2,0.10682675556662258,1.0,4,High
4.771533332858719,6,0.016009461668211173,0.0,3,Low
10.011202990016647,2,0.3259262713565642,0.0,4,Medium
3.932572086120756,1,0.21424663632124008,0.5,4,Low
9.19851916934851,7,0.40340079528653666,0.0,2,High
9.261051674169474,3,0.8383781274980757,0.0,4,High
5.537027059456732,3,0.13041662417298044,1.0,3,Medium
5.723986238860401,5,0.49059471548615696,1.0,5,High
9.766512118783524,4,0.2645371196535854,0.0,3,Medium
5.787295482120985,3,0.49950065259841997,1.0,4,High
5.7947613782601675,4,0.010688442850941511,1.0,5,Medium
8.63235311824261,4,0.007774763857811528,0.0,2,Low
9.91018925771237,2,0.14805269085209494,0.5,3,Medium
9.087557472625338,4,0.7243614053922657,1.0,1,High
3.9581202158175897,5,0.037790230022957914,0.0,2,Low
